Na2O,MgO,Al2O3,SiO2,K2O,CaO,TiO2,Y2O3,Density293K
68.74915625,0,0,31.25084375,0,0,0,0,2.49
66.67016665,0,0,33.32983335,0,0,0,0,2.49
64.29064291,0,0,35.70935709,0,0,0,0,2.53
61.5401923,0,0,38.4598077,0,0,0,0,2.48
60.00060001,0,0,39.99939999,0,0,0,0,2.75
59.10059101,0,0,40.89940899,0,0,0,0,2.535
0,0,0,41.66979165,58.33020835,0,0,0,2.5
58.33020835,0,0,41.66979165,0,0,0,0,2.515
56.10056101,0,0,43.89943899,0,0,0,0,2.55
54.97797903,0,5.00279139,40.01922958,0,0,0,0,2.57
54.91015267,0,5.010328172,40.07951916,0,0,0,0,2.54
0,0,0,45.44977275,54.55022725,0,0,0,2.47
54.55022725,0,0,45.44977275,0,0,0,0,2.56
10.58346762,0,12.47143991,76.94509247,0,0,0,0,2.33
0,0,0,27.27927279,52.20052201,0,20.5202052,0,2.57
51.2802436,0,0,48.7197564,0,0,0,0,2.575
50.7800078,0,0,49.200492,0.019500195,0,0,0,2.602
0,0,0,39.58480208,50.49424753,0,9.920950395,0,2.523
37.54022167,0,0,37.47971728,0,24.98006105,0,0,2.742
50.0202499,0,0,49.9797501,0,0,0,0,2.641
0,0,0,0,49.99925,0,50.00075,0,2.69
0,0,0,50.00075,49.99925,0,0,0,2.48
49.99925,0,0,50.00075,0,0,0,0,2.561
49.18925405,0,0,50.81074595,0,0,0,0,2.56
49.000255,0,0,50.999745,0,0,0,0,2.567
43.47920371,0,0,45.66075378,0,10.8600425,0,0,2.64
48.70925645,0,0,51.29074355,0,0,0,0,2.564
43.71580735,0,0,46.51507016,0,9.769122491,0,0,2.63
48.4204842,0,0,51.5795158,0,0,0,0,2.563
48.0792596,0,0,51.9207404,0,0,0,0,2.556
48.00048,0,0,51.99952,0,0,0,0,2.57
47.6202619,0,0,52.3797381,0,0,0,0,2.56
47.6104761,0,0,52.3895239,0,0,0,0,2.567
47.50125814,0,2.499504369,49.99923749,0,0,0,0,2.57
47.5002625,0,0,52.4997375,0,0,0,0,2.51
37.49929976,19.90084589,0,42.59985435,0,0,0,0,2.529
38.83628827,0,0,45.0665039,0,16.09720783,0,0,2.714
46.59970261,0,1.729736291,51.6705611,0,0,0,0,2.56
46.63026685,0,0,53.36973315,0,0,0,0,2.5575
46.49945508,0,3.499777426,50.0007675,0,0,0,0,2.572
46.57026715,0,0,53.42973285,0,0,0,0,2.555
46.200462,0,0,53.799538,0,0,0,0,2.558
39.65991856,0,0,47.08952228,0,13.25055916,0,0,2.654
46.00027,0,0,53.99973,0,0,0,0,2.551
45.61027195,0,0,54.38972805,0,0,0,0,2.553
42.07536673,0,0,50.72468012,0,7.199953152,0,0,2.607
38.90592315,0,0,47.65452618,0,13.43955068,0,0,2.683
45.00072001,0,10.00016,44.99911999,0,0,0,0,2.592
44.99969,0,5.000310001,50,0,0,0,0,2.57
45.0904509,0,0,54.9095491,0,0,0,0,2.547
44.99910002,0,0,50,0,0,5.000899982,0,2.607
45.00045,0,0,54.99955,0,0,0,0,2.546265
0,0,0,55.49072255,44.50927745,0,0,0,2.5
11.17027659,0,0,55.4898902,33.3398332,0,0,0,2.5
33.3398332,0,0,55.4898902,11.17027659,0,0,0,2.527
0,0,0,55.5597222,44.4402778,0,0,0,2.53
44.4402778,0,0,55.5597222,0,0,0,0,2.54
44.30608249,0,2.980051401,52.71386611,0,0,0,0,2.553
35.34056839,0,0,46.18048224,0,18.47894937,0,0,2.681
44.200279,0,0,55.799721,0,0,0,0,2.535
38.97726615,0,0,50.25452652,0,10.76820732,0,0,2.667
39.28954618,0,0,50.69160505,0,10.01884877,0,0,2.72
39.44029959,9.698957819,0,50.86074259,0,0,0,0,2.486
43.99928,0,0,56.00072,0,0,0,0,2.552
33.71969908,0,0,44.90944553,0,21.37085539,0,0,2.703
43.8792806,0,0,56.1207194,0,0,0,0,2.56
43.8192809,0,0,56.1807191,0,0,0,0,2.541
43.50125984,0,6.499522669,49.99921749,0,0,0,0,2.558
43.6602817,0,0,56.3397183,0,0,0,0,2.544
43.5604356,0,0,56.4395644,0,0,0,0,2.546
37.50017969,12.50053906,0,49.99928125,0,0,0,0,2.528
43.2597837,0,0,56.7207164,0.019499903,0,0,0,2.546
42.92525614,0,4.300395013,52.77434885,0,0,0,0,2.549
42.86969253,0,4.119596209,53.01071126,0,0,0,0,2.548
42.71058064,0,5.210386627,52.07903273,0,0,0,0,2.536
36.75054186,0,0,50.33085966,0,12.91859848,0,0,2.641
39.05098303,0,0,52.86004116,0,8.088975815,0,0,2.666
39.29945155,0,0,53.2095064,0,7.491042048,0,0,2.682
42.8592857,0,0,57.1407143,0,0,0,0,2.55
39.3998829,7.259953162,0,53.34016393,0,0,0,0,2.491
42.4998425,0,7.5001575,50,0,0,0,0,2.562
38.9599965,0,0,52.93130373,0,8.108699777,0,0,2.601
19.0005947,0,29.999374,4.0001252,0,46.9999061,0,0,2.58
41.08598358,0,0,55.30395092,0,3.610065503,0,0,2.568
42.000792,0,15.000165,42.999043,0,0,0,0,2.569
42.6792866,0,0,57.3207134,0,0,0,0,2.538
41.90057995,0,15.70008285,42.3993372,0,0,0,0,2.467
0,0,0,57.5007125,42.4992875,0,0,0,2.5
42.4992875,0,0,57.5007125,0,0,0,0,2.537
36.41002055,0,0,51.03985512,0,12.55012432,0,0,2.641
42.00042,0,0,57.99958,0,0,0,0,2.535
41.800291,0,0,58.199709,0,0,0,0,2.536
41.7904179,0,0,58.2095821,0,0,0,0,2.531
35.32958142,0,0,51.0804657,0,13.58995289,0,0,2.648
25.65957447,0,0,40.30053191,0,34.03989362,0,0,2.8
0,0,0,58.299583,41.700417,0,0,0,2.486
41.700417,0,0,58.299583,0,0,0,0,2.533
39.12031581,0,0,55.47961348,0,5.400070705,0,0,2.616
39.50980247,0,0,55.96938851,0,4.520809018,0,0,2.671
39.35064935,4.840613932,0,55.80873672,0,0,0,0,2.519
41.29968278,0,5.500093301,53.20022392,0,0,0,0,2.471
41.33441334,0,0,42.63342633,0,0,16.03216032,0,2.68
16.000682,0,30.00031,3.999007998,0,50,0,0,2.75
37.38706523,0,0,54.52395896,0,8.088975815,0,0,2.587
33.35033508,0,0,50.01062609,0,16.63903883,0,0,2.663
39.99898001,0,20.00034,40.00067999,0,0,0,0,2.552
33.3295556,0,0,49.99929167,0,16.67115273,0,0,2.654
41.05945191,0,1.740463112,57.20008497,0,0,0,0,2.536
41.100411,0,0,58.899589,0,0,0,0,2.535
40,0,15.00041251,44.99958749,0,0,0,0,2.55
40.30055736,0,9.700241149,49.99920149,0,0,0,0,2.548
40.78929605,0,0,47.3397633,0,0,11.87094065,0,2.64
40.41043554,0,5.939775757,53.6497887,0,0,0,0,2.541
0,0,10,50,40,0,0,0,2.517
40,0,10,50,0,0,0,0,2.545
39.27052033,0,0,58.23044655,0,2.499033112,0,0,2.58
39.31016011,2.398666746,0,58.29117314,0,0,0,0,2.23
32.4101447,0,0,50.48870532,0,17.10114998,0,0,2.67
39.90590183,0,3.540175629,55.98381634,0,0.570106205,0,0,2.528
40.399298,0,0,59.600702,0,0,0,0,2.535
39.99938,0,0,55.00031,0,0,0,5.000310001,2.77
39.99938,0,5.000310001,55.00031,0,0,0,0,2.536
40.27029865,0,0,59.72970135,0,0,0,0,2.527
0,0,0,7.010964945,40.24929875,0,52.7397363,0,2.732
40.21029895,0,0,59.78970105,0,0,0,0,2.529
40.08218603,0,0,59.86382315,0,0.053990822,0,0,2.519
40.1026195,0,0,59.8973805,0,0,0,0,2.519
40.0392998,0,0,59.9607002,0,0,0,0,2.521
0,0,0,59.9997,40.0003,0,0,0,2.4935
40.0003,0,0,29.99985,0,0,29.99985,0,2.89
40.0003,0,0,39.99880001,0,0,20.0009,0,2.755
40.0003,0,0,44.999775,0,0,14.999925,0,2.706
40.0003,0,0,50.00075,0,0,9.998950005,0,2.647
40.0003,0,0,54.99872501,0,0,5.000974995,0,2.59
40.0003,0,0,59.9997,0,0,0,0,2.52
40.00150049,0,0,59.99849951,0,0,0,0,2.545
39.28920195,0,10.09045065,50.62034739,0,0,0,0,2.596
39.60195876,0,0,59.4036869,0,0,0.994354344,0,2.55
39.26950712,0,7.569645783,53.16084709,0,0,0,0,2.579
39.7552049,0,0,56.38387232,0,0,3.860922782,0,2.53
39.0005152,0,10.9994848,50,0,0,0,0,2.548
39.5703957,0,0,60.4296043,0,0,0,0,2.525
0,0,0,13.78172437,39.56320874,0,46.6550669,0,2.726
39.55030225,0,0,60.44969775,0,0,0,0,2.5235
39.2796513,0,2.939512121,57.78083658,0,0,0,0,2.53
39.26332647,0,2.519637001,58.21703653,0,0,0,0,2.558
39.06984684,0,5.179932031,55.75022113,0,0,0,0,2.562
39.40930295,0,0,60.59069705,0,0,0,0,2.52
28.90974208,0,0,48.72150809,0,22.36874983,0,0,2.697
39.28930355,0,0,60.71069645,0,0,0,0,2.5215
38.88681476,0,5.559703814,55.55348143,0,0,0,0,2.523
39.26074825,0,0,60.73925175,0,0,0,0,2.651
39.25957038,0,0,60.74042962,0,0,0,0,2.65
39.2593037,0,0,60.7406963,0,0,0,0,2.24
37.71955851,0,0,58.98112984,0,3.299311654,0,0,2.547
39.25725861,0,0,60.74274139,0,0,0,0,2.652
39.25410303,0,0,60.74589697,0,0,0,0,2.651
