Li2O,B2O3,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,ZnO,Y2O3,ZrO2,Density293K
6.250000975,0,6.250000975,0,12.50000033,74.99999772,0,0,0,0,0,0,0,2.351999998
8.329999836,0,8.329999836,0,16.66999904,66.67000129,0,0,0,0,0,0,0,2.400000095
12.50000249,0,12.50000249,0,24.99999834,49.99999667,0,0,0,0,0,0,0,2.46600008
16.49834955,0,0,0,16.838325,66.66332545,0,0,0,0,0,0,0,2.380000114
5.000498998,0,4.960496831,0,10.80107992,79.23792425,0,0,0,0,0,0,0,2.316999912
0,0,0,7.810000524,17.06000077,66.69999893,0,0,8.429999777,0,0,0,0,2.522000074
0,0,0,9.529998508,15.44999868,67.82000243,0,0,7.20000038,0,0,0,0,2.492000103
0,0,0,7.100001318,13.57000044,73.55999679,0,0,5.770001453,0,0,0,0,2.446000099
5.590000083,93.19999963,0,1.210000288,0,0,0,0,0,0,0,0,0,1.911999941
5.5200012,92.3099984,0,2.1700004,0,0,0,0,0,0,0,0,0,1.927000046
5.500001507,90.48999763,0,4.010000859,0,0,0,0,0,0,0,0,0,1.949000001
5.459998593,88.75000112,0,5.790000286,0,0,0,0,0,0,0,0,0,1.985000014
5.0500012,87.99000027,0,6.959998531,0,0,0,0,0,0,0,0,0,2.08100009
5.309999066,85.41000153,0,9.2799994,0,0,0,0,0,0,0,0,0,2.132999897
5.150000882,84.11999741,0,10.73000171,0,0,0,0,0,0,0,0,0,2.144000053
5.219477273,82.36176631,0,12.41875642,0,0,0,0,0,0,0,0,0,2.160000086
5.15999911,80.90000371,0,13.93999718,0,0,0,0,0,0,0,0,0,2.180000067
4.930000144,79.77000143,0,15.29999842,0,0,0,0,0,0,0,0,0,2.190999985
9.579998589,89.30000134,0,1.12000007,0,0,0,0,0,0,0,0,0,1.927999973
9.510950725,87.28872882,0,3.200320457,0,0,0,0,0,0,0,0,0,1.983999968
9.690001781,85.54999911,0,4.759999108,0,0,0,0,0,0,0,0,0,2.049999952
10.59105881,83.08830876,0,6.320632434,0,0,0,0,0,0,0,0,0,2.131999969
10.16999971,82.94000032,0,6.889999974,0,0,0,0,0,0,0,0,0,2.155999899
10.21897664,80.78192322,0,8.999100141,0,0,0,0,0,0,0,0,0,2.160000086
10.39999975,78.99999928,0,10.60000096,0,0,0,0,0,0,0,0,0,2.184999943
10.22000172,77.39999641,0,12.38000186,0,0,0,0,0,0,0,0,0,2.207000017
10.01000219,76.05999388,0,13.93000392,0,0,0,0,0,0,0,0,0,2.230000019
10.14999774,75.12000521,0,14.72999705,0,0,0,0,0,0,0,0,0,2.243000031
