O,Na,Mg,Al,Si,Ca,YoungModulus
56.28931046,18.86791992,0,5.660377979,19.18239021,0,63.79999924
55.80644989,20.64516068,0,3.225805998,20.32258034,0,63.90000153
62.07323837,0,6.890130997,13.78026009,17.2563591,0,101
59.30981064,12.38708019,0,3.925391912,22.88945961,1.410282016,64.19999695
59.4425087,11.11038017,0,4.333837032,22.27329063,2.839977026,69.59999847
58.8239212,11.53396988,0,4.022546768,21.44691086,4.085919857,72.30000305
59.3585701,10.35332012,4.085434914,4.331625938,21.75794029,0.05323042,71.90000153
58.48374176,11.16380978,5.830974102,3.541574001,20.82295036,0.068238422,73.19999695
61.49575043,2.749094009,0.037241429,6.547719955,21.09218979,8.078003883,83.19999695
61.04352188,2.590054989,9.402583122,7.163548946,19.80028915,0,91.80000305
60.10393143,3.134218931,10.74442959,8.31694603,17.64448929,0,96.09999847
59.95603943,0.935068488,0.170964003,9.378598213,15.69030952,13.86902046,98.59999847
59.99300003,10.01049995,0,0,24.99124908,5.005249977,73.69999695
57.33332825,18.66666985,0,0,24,0,60.29999924
53.33332825,26.66666985,0,0,20,0,59
58.33000183,16.67333984,0,0,24.99666977,0,60.5
58.33000183,16.67333984,0,0,24.99666977,0,59.79999924
55.66333008,22.00667,0,0,22.32999992,0,59.09999847
57.86169052,16.63269043,0,2.931754112,22.57386017,0,61.40000153
66.66665649,0,0,0,33.33332825,0,71.90000153
62.33332825,8.666666985,0,0,29,0,62.09999847
61.33332825,10.66666985,0,0,28,0,60.20000076
61,11.33333015,0,0,27.66666985,0,59.09999847
60,13.33333015,0,0,26.66666985,0,56.40000153
58,17.33333015,0,0,24.66666985,0,55.90000153
56.66667175,20,0,0,23.33333015,0,56.79999924
55.56666946,22.20000076,0,0,22.23332977,0,58.70000076
66.66665649,0,0,0,33.33332825,0,72.69999695
63.33332825,6.666666985,0,0,30,0,65.30000305
61.66667175,10,0,0,28.33333015,0,63
60,13.33333015,0,0,26.66666985,0,61.20000076
58.33332825,16.66666985,0,0,25,0,59.79999924
56.66667175,20,0,0,23.33333015,0,59.29999924
55,23.33333015,0,0,21.66666985,0,58.40000153
53.33332825,26.66666985,0,0,20,0,57.79999924
58.33332825,16.66666985,0,0,25,0,53.90000153
55.66667175,22,0,0,22.33333015,0,51
53.33332825,26.66666985,0,0,20,0,46.09999847
61.66667175,10,0,0,28.33333015,0,64.40000153
60,13.33333015,0,0,26.66666985,0,62
58.33332825,16.66666985,0,0,25,0,61.40000153
56.66667175,20,0,0,23.33333015,0,60.5
55.66667175,22,0,0,22.33333015,0,60.29999924
55,23.33333015,0,0,21.66666985,0,60.20000076
56.05493927,0,2.421978951,19.3758297,2.421978951,19.72525978,109
59.60226059,10.94783974,0,1.975090981,23.69091034,3.783894062,72.59999847
59.99930954,10.83792019,0,0,25.41757965,3.745202065,72.59999847
59.20072937,11.05428028,1.996402025,0,23.92860985,3.819971085,79.19999695
59.20072937,11.05428028,0,0,23.92860985,5.816372871,75.5
59.57992935,11.52087021,0,0,24.92028046,3.978926897,76.69999695
58.78829956,13.18332005,0,0,24.16824913,3.860135078,71.19999695
61.11000061,11.11332989,0,0,27.77667046,0,58
60.66667175,12,0,0,27.33333015,0,60.40000153
60,13.33333015,0,0,26.66666985,0,58.79999924
59.16667175,15,0,0,25.83333015,0,58.40000153
57.5,18.33333015,0,0,24.16666985,0,55.90000153
56.66667175,20,0,0,23.33333015,0,56.40000153
55.56666946,22.20000076,0,0,22.23332977,0,57.29999924
66.66665649,0,0,0,33.33332825,0,73.19999695
53.33332825,26.66666985,0,0,20,0,62.40000153
55.69620132,20.25316048,0,5.063291073,18.98734093,0,69.30000305
57.83132935,14.45783043,0,9.638554573,18.07229042,0,73.19999695
58.82352829,11.76471043,0,11.76471043,17.64706039,0,73.5
59.44380188,10.08111,0,13.09385967,17.3812294,0,78
60,13.33333015,0,0,26.66666985,0,60.20000076
59.67742157,12.90322971,0,3.225805998,24.19355011,0,64.80000305
59.375,12.5,0,6.25,21.875,0,69.59999847
58.52273178,11.36363983,0,14.77272987,15.34090996,0,77.40000153
61.97182846,0,0,5.633802891,21.12676048,11.2676096,92.90000153
62.22074127,0,0,8.869623184,20.00667,8.902968407,91.59999847
62.5,0,0,12.5,18.75,6.25,93.30000305
62.59914017,0,0,13.78890038,18.30384064,5.308115005,98
66.66665649,0,0,0,33.33332825,0,72.40000153
59.58749008,10.96345997,1.533084035,0.609080911,24.33555031,2.938122988,75.69999695
58.33332825,16.66666985,0,0,25,0,61.29999924
58.35673141,16.52589989,0,0.09329135,24.91212082,0.076632179,56.70000076
58.63866043,15.63572979,0,0.087051153,25.03389931,0.569180608,58.09999847
58.78602982,15.08393955,0,0.087384678,25.05252075,0.954509616,60.5
58.55847931,15.24522972,0,0.114727303,24.66299057,1.380102038,62.09999847
59.18751907,13.73777008,0.081248507,0.135414198,25.15319061,1.658823967,63
59.89403915,11.49927998,0.116223402,0.307650208,25.36063957,2.775688887,66.69999695
60.17160034,10.84531975,0.133850396,0.151010707,25.67868996,2.996190071,68.30000305
60.47212982,9.93900013,0.158527702,0.1516352,25.8159008,3.418684959,69
60.54439926,9.504375458,0.148721993,0.193684503,25.72199059,3.84256196,71.09999847
60.7937088,8.708645821,0.159855396,0.152905196,25.84445,4.298720837,67.80000305
59.76831818,8.712956429,0.447729409,0.596972525,23.55199051,6.836757183,81.80000305
60.39403152,0,13.5951004,10.44561005,15.56525993,0,99
66.66665649,0,0,0,33.33332825,0,70.40000153
66.66665649,0,0,0,33.33332825,0,70.40000153
66.66665649,0,0,0,33.33332825,0,73.09999847
66.66665649,0,0,0,33.33332825,0,78
66.66665649,0,0,0,33.33332825,0,72.90000153
66.66665649,0,0,0,33.33332825,0,73
66.66665649,0,0,0,33.33332825,0,72.80000305
57.86837006,14.57246971,2.038348913,0.601140082,22.7224102,2.197271109,66
60.37903976,9.612752914,1.272578001,1.211001992,24.95895004,2.565680981,75.90000153
66.66665649,0,0,0,33.33332825,0,72.59999847
60,13.33333015,0,0,26.66666985,0,56.40000153
56.66667175,20,0,0,23.33333015,0,55.70000076
53.33332825,26.66666985,0,0,20,0,53.20000076
62.06896973,6.896552086,0,0,27.58621025,3.448276043,67.80000305
59.48423004,13.16592979,0,0,25.55141068,1.798439026,66.40000153
59.71831131,10.14085007,0,0,24.50704002,5.633802891,76.09999847
57.99296188,13.59154987,0,0,22.7816906,5.633802891,78.09999847
58.22970963,10.38770962,0,0,21.65325928,9.729334831,83.90000153
59.80392075,13.07190037,0,1.960783958,25.16340065,0,76.09999847
60,0,5,0,20,15,94.90000153
60,0,10,0,20,10,99.09999847
60.49219894,9.8855896,0,0,25.92720032,3.694998026,77.5
56.25,18.75,0,6.25,18.75,0,72.30000305
58.08615112,13.41808033,5.614406109,0,22.8813591,0,70.59999847
58.75886917,11.8439703,0,0,23.43972015,5.957447052,69.59999847
